מס.סידורי,טרנזקציה,תאריך העסקה,שם המוצר,חובה,זכות,חשבון בחובה,חשבון בזכות,גיליון,קישור טרנזקציה
1,3801841,2025-11-16,מנוי משולב לעונת 25/26,,7500.0,,4240.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3801841
2,3801841,2025-11-16,מנוי משולב לעונת 25/26,,0.0,,4240.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3801841
3,3801841,2025-11-16,מנוי משולב לעונת 25/26,,7500.0,,4240.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3801841
4,3801841,2025-11-16,מנוי משולב לעונת 25/26,,7500.0,,4240.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3801841
5,3808208,2025-11-25,פרסום: לד עליון 25/26,,10000.0,,4118.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3808208
6,3808208,2025-11-25,פרסום: לד תחתון 25/26,,10000.0,,4118.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3808208
7,3808208,2025-11-25,פרסום: שקופית ג'מבו 25/26,,10000.0,,4118.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3808208
