מס.סידורי,טרנזקציה,תאריך העסקה,שם המוצר,חובה,זכות,חשבון בחובה,חשבון בזכות,גיליון,קישור טרנזקציה
1010,3793173,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793173
1011,3793173,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793173
1012,3793177,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793177
1013,3793177,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793177
1014,3793182,2025-11-04,Cash,0.0,,70001,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793182
1015,3793182,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,0.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793182
1016,3793182,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,0.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793182
1017,3793182,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,0.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793182
1018,3793182,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,0.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793182
1019,3793186,2025-11-04,Credit card,240.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793186
1020,3793186,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793186
1021,3793186,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793186
1022,3793186,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793186
1023,3793186,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793186
1024,3793191,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793191
1025,3793191,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793191
1026,3793193,2025-11-04,Cash,0.0,,70001,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793193
1027,3793193,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,0.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793193
1028,3793194,2025-11-04,Cash,0.0,,70001,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793194
1029,3793194,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,0.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793194
1030,3793195,2025-11-04,Cash,0.0,,70001,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793195
1031,3793195,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,0.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793195
1032,3793196,2025-11-04,Cash,0.0,,70001,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793196
1033,3793196,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,0.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793196
1034,3793201,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793201
1035,3793201,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793201
1036,3793225,2025-11-04,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793225
1037,3793225,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793225
1038,3793225,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793225
1039,3793228,2025-11-04,Credit card,4500.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1040,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1041,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1042,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1043,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1044,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1045,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1046,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1047,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1048,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1049,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1050,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1051,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1052,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1053,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1054,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1055,3793228,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,281.25,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793228
1056,3793231,2025-11-04,Credit card,240.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793231
1057,3793231,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793231
1058,3793231,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793231
1059,3793231,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793231
1060,3793231,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793231
1061,3793234,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793234
1062,3793234,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793234
1063,3793235,2025-11-04,Credit card,240.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793235
1064,3793235,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793235
1065,3793235,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793235
1066,3793235,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793235
1067,3793235,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793235
1068,3793237,2025-11-04,Credit card,240.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793237
1069,3793237,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793237
1070,3793237,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793237
1071,3793237,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793237
1072,3793237,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793237
1073,3793242,2025-11-04,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793242
1074,3793242,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793242
1075,3793242,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793242
1076,3793248,2025-11-04,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793248
1077,3793248,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793248
1078,3793248,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793248
1079,3793262,2025-11-04,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793262
1080,3793262,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793262
1081,3793262,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793262
1082,3793262,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793262
1083,3793263,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793263
1084,3793263,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793263
1085,3793267,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793267
1086,3793267,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793267
1087,3793272,2025-11-04,Credit card,240.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793272
1088,3793272,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793272
1089,3793272,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793272
1090,3793272,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793272
1091,3793272,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793272
1092,3793273,2025-11-04,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793273
1093,3793273,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793273
1094,3793273,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793273
1095,3793284,2025-11-04,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793284
1096,3793284,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793284
1097,3793284,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793284
1098,3793284,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793284
1099,3793285,2025-11-04,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793285
1100,3793285,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793285
1101,3793285,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793285
1102,3793285,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793285
1103,3793290,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793290
1104,3793290,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793290
1105,3793293,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793293
1106,3793293,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793293
1107,3793296,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793296
1108,3793296,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793296
1109,3793298,2025-11-04,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793298
1110,3793298,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793298
1111,3793298,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793298
1112,3793303,2025-11-04,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793303
1113,3793303,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793303
1114,3793303,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793303
1115,3793303,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793303
1116,3793306,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793306
1117,3793306,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793306
1118,3793309,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793309
1119,3793309,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793309
1120,3793325,2025-11-04,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793325
1121,3793325,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793325
1122,3793325,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793325
1123,3793329,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793329
1124,3793329,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793329
1125,3793335,2025-11-04,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793335
1126,3793335,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793335
1127,3793335,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793335
1128,3793337,2025-11-04,Credit card,300.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793337
1129,3793337,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793337
1130,3793337,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793337
1131,3793337,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793337
1132,3793337,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793337
1133,3793337,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793337
1134,3793340,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793340
1135,3793340,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793340
1136,3793342,2025-11-04,Credit card,300.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793342
1137,3793342,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793342
1138,3793342,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793342
1139,3793342,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793342
1140,3793342,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793342
1141,3793342,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793342
1142,3793344,2025-11-04,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793344
1143,3793344,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793344
1144,3793344,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793344
1145,3793345,2025-11-04,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793345
1146,3793345,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793345
1147,3793349,2025-11-04,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793349
1148,3793349,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793349
1149,3793349,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793349
1150,3793349,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793349
1151,3793360,2025-11-04,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793360
1152,3793360,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793360
1153,3793360,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793360
1154,3793360,2025-11-04,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793360
1155,3793656,2025-11-05,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793656
1156,3793656,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793656
1157,3793656,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793656
1158,3793689,2025-11-05,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793689
1159,3793689,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793689
1160,3793689,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793689
1161,3793689,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793689
1162,3793691,2025-11-05,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793691
1163,3793691,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793691
1164,3793691,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793691
1165,3793693,2025-11-05,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793693
1166,3793693,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793693
1167,3793693,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793693
1168,3793693,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793693
1169,3793713,2025-11-05,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793713
1170,3793713,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793713
1171,3793720,2025-11-05,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793720
1172,3793720,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793720
1173,3793720,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793720
1174,3793720,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793720
1175,3793724,2025-11-05,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793724
1176,3793724,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793724
1177,3793724,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793724
1178,3793726,2025-11-05,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793726
1179,3793726,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793726
1180,3793726,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793726
1181,3793728,2025-11-05,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793728
1182,3793728,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793728
1183,3793728,2025-11-05,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3793728
