מס.סידורי,טרנזקציה,תאריך העסקה,שם המוצר,חובה,זכות,חשבון בחובה,חשבון בזכות,גיליון,קישור טרנזקציה
41,3791275,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791275
42,3791277,2025-11-01,Credit card,268.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791277
43,3791277,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791277
44,3791277,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791277
45,3791278,2025-11-01,Credit card,100.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791278
46,3791278,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791278
47,3791278,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791278
48,3791281,2025-11-01,Credit card,90.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791281
49,3791281,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791281
50,3791287,2025-11-01,Credit card,90.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791287
51,3791287,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791287
52,3791288,2025-11-01,Credit card,94.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791288
53,3791288,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,94.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791288
54,3791295,2025-11-01,Credit card,90.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791295
55,3791295,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791295
56,3791297,2025-11-01,Credit card,300.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791297
57,3791297,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791297
58,3791297,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791297
59,3791297,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791297
60,3791297,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791297
61,3791297,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791297
62,3791304,2025-11-01,Credit card,268.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791304
63,3791304,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791304
64,3791304,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791304
65,3791315,2025-11-01,Credit card,134.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791315
66,3791315,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791315
67,3791317,2025-11-01,Credit card,296.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791317
68,3791317,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,74.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791317
69,3791317,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,74.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791317
70,3791317,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,74.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791317
71,3791317,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,74.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791317
72,3791318,2025-11-01,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791318
73,3791318,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791318
74,3791318,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791318
75,3791324,2025-11-01,Credit card,268.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791324
76,3791324,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791324
77,3791324,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791324
78,3791328,2025-11-01,Credit card,536.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791328
79,3791328,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791328
80,3791328,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791328
81,3791328,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791328
82,3791328,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791328
83,3791332,2025-11-01,Credit card,74.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791332
84,3791332,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,74.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791332
85,3791334,2025-11-01,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791334
86,3791334,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791334
87,3791334,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791334
88,3791336,2025-11-01,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791336
89,3791336,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791336
90,3791336,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791336
91,3791339,2025-11-01,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791339
92,3791339,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791339
93,3791341,2025-11-01,Credit card,74.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791341
94,3791341,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,74.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791341
95,3791342,2025-11-01,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791342
96,3791342,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791342
97,3791342,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791342
98,3791367,2025-11-01,Other Payment,0.0,,Other,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791367
99,3791367,2025-11-01,מנוי לעונת 2025/2026,,0.0,,4240.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791367
100,3791368,2025-11-01,Other Payment,0.0,,Other,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791368
101,3791368,2025-11-01,מנוי לעונת 2025/2026,,0.0,,4240.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791368
102,3791369,2025-11-01,Other Payment,0.0,,Other,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791369
103,3791369,2025-11-01,מנוי לעונת 2025/2026,,0.0,,4240.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791369
104,3791378,2025-11-01,Credit card,134.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791378
105,3791378,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791378
106,3791384,2025-11-01,Credit card,150.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791384
107,3791384,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791384
108,3791384,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791384
109,3791384,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791384
110,3791392,2025-11-01,Credit card,150.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791392
111,3791392,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791392
112,3791392,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791392
113,3791392,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791392
114,3791407,2025-11-01,Credit card,268.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791407
115,3791407,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791407
116,3791407,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791407
117,3791411,2025-11-01,Credit card,300.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791411
118,3791411,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791411
119,3791411,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791411
120,3791411,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791411
121,3791411,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791411
122,3791411,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791411
123,3791414,2025-11-01,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791414
124,3791414,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791414
125,3791414,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791414
126,3791421,2025-11-01,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791421
127,3791421,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791421
128,3791427,2025-11-01,Credit card,50.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791427
129,3791427,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791427
130,3791433,2025-11-01,Credit card,134.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791433
131,3791433,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791433
