"Installment Ticket Id","InstallmentTransactionId","InstallmentDate","InstallmentValueDate","InstallmentProducts","InstallmentPaymentPrice","InstallmentProductPrice","InstallmentPaymentExtRef","InstallmentProductExtRef","Installments"
"","3795424","07/11/2025","07/11/2025","Credit card","60","","70100","",""
"3510986","3795424","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795430","07/11/2025","07/11/2025","Credit card","60","","70100","",""
"3510990","3795430","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795436","07/11/2025","07/11/2025","Credit card","60","","70100","",""
"3510994","3795436","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795447","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3511002","3795447","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511001","3795447","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795453","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3511004","3795453","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511005","3795453","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795455","07/11/2025","07/11/2025","Credit card","65","","70100","","1"
"3511006","3795455","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795458","07/11/2025","07/11/2025","Credit card","-130","","70100","",""
"246385","3795458","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","-65","","4242",""
"246386","3795458","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","-65","","4242",""
"","3795459","07/11/2025","07/11/2025","Credit card","65","","70100","","1"
"3511007","3795459","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795460","07/11/2025","07/11/2025","Credit card","130","","70100","","1"
"3511008","3795460","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511009","3795460","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795467","07/11/2025","07/11/2025","Credit card","60","","70100","","1"
"3511017","3795467","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795469","07/11/2025","07/11/2025","Credit card","195","","70100","",""
"3511024","3795469","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511020","3795469","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511021","3795469","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795470","07/11/2025","07/11/2025","Credit card","60","","70100","","1"
"3511019","3795470","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795473","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3511028","3795473","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511027","3795473","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795477","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3511029","3795477","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511030","3795477","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795479","07/11/2025","07/11/2025","Credit card","60","","70100","","1"
"3511031","3795479","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795480","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511032","3795480","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511033","3795480","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795481","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511034","3795481","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795488","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3511045","3795488","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511046","3795488","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795501","07/11/2025","07/11/2025","Credit card","60","","70100","",""
"3511067","3795501","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795505","07/11/2025","07/11/2025","Credit card","180","","70100","",""
"3511070","3795505","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511068","3795505","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511069","3795505","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795510","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3511075","3795510","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511074","3795510","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795512","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511078","3795512","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511077","3795512","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795513","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3511079","3795513","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511080","3795513","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795514","07/11/2025","07/11/2025","Cash","0","","70001","",""
"3511081","3795514","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"3511082","3795514","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"","3795521","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511096","3795521","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511095","3795521","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795524","07/11/2025","07/11/2025","Cash","0","","70001","",""
"3511097","3795524","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"3511098","3795524","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"","3795526","07/11/2025","07/11/2025","Credit card","130","","70100","","1"
"3511099","3795526","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511100","3795526","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795532","07/11/2025","07/11/2025","Credit card","120","","70100","","1"
"3511108","3795532","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511107","3795532","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795533","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511113","3795533","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511112","3795533","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795536","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511118","3795536","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795538","07/11/2025","07/11/2025","Credit card","130","","70100","","1"
"3511109","3795538","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511110","3795538","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795540","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511111","3795540","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795542","07/11/2025","07/11/2025","Credit card","300","","70100","","1"
"3511131","3795542","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511134","3795542","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511133","3795542","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511135","3795542","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511132","3795542","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795547","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511129","3795547","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511130","3795547","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795548","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511138","3795548","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511139","3795548","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795550","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511140","3795550","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511141","3795550","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795552","07/11/2025","07/11/2025","CustomPayment","-296","","79991","",""
"246420","3795552","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","-74","","4242",""
"246418","3795552","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","-74","","4242",""
"246419","3795552","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","-74","","4242",""
"246421","3795552","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","-74","","4242",""
"","3795558","07/11/2025","07/11/2025","Credit card","195","","70100","","1"
"3511150","3795558","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511149","3795558","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511151","3795558","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795563","07/11/2025","07/11/2025","Credit card","65","","70100","","1"
"3511153","3795563","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795568","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511165","3795568","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511164","3795568","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795570","07/11/2025","07/11/2025","Credit card","60","","70100","",""
"3511170","3795570","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795571","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511166","3795571","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795573","07/11/2025","07/11/2025","Credit card","60","","70100","",""
"3511169","3795573","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795577","07/11/2025","07/11/2025","Cash","0","","70001","",""
"246423","3795577","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"246422","3795577","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"","3795578","07/11/2025","07/11/2025","Cash","0","","70001","",""
"3511172","3795578","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"3511173","3795578","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"","3795579","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511181","3795579","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511180","3795579","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795585","07/11/2025","07/11/2025","Credit card","195","","70100","",""
"3511186","3795585","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511185","3795585","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511187","3795585","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795586","07/11/2025","07/11/2025","Credit card","65","","70100","","1"
"3511184","3795586","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795589","07/11/2025","07/11/2025","Credit card","120","","70100","","1"
"3511191","3795589","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511192","3795589","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795598","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511207","3795598","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511206","3795598","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795601","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511210","3795601","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795602","07/11/2025","07/11/2025","Credit card","65","","70100","","1"
"3511211","3795602","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795606","07/11/2025","07/11/2025","Credit card","60","","70100","",""
"3511215","3795606","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795609","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511219","3795609","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795611","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511222","3795611","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795615","07/11/2025","07/11/2025","Credit card","195","","70100","","1"
"3511230","3795615","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511228","3795615","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511227","3795615","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795619","07/11/2025","07/11/2025","Credit card","60","","70100","",""
"3511232","3795619","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795621","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511237","3795621","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511238","3795621","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795627","07/11/2025","07/11/2025","Credit card","60","","70100","",""
"3511251","3795627","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795635","07/11/2025","07/11/2025","Credit card","60","","70100","","1"
"3511270","3795635","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795636","07/11/2025","07/11/2025","Credit card","195","","70100","",""
"3511272","3795636","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511273","3795636","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511271","3795636","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795640","07/11/2025","07/11/2025","Credit card","325","","70100","",""
"3511282","3795640","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511285","3795640","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511283","3795640","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511284","3795640","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511286","3795640","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795642","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3511281","3795642","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511280","3795642","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795652","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511295","3795652","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795654","07/11/2025","07/11/2025","Credit card","195","","70100","",""
"3511302","3795654","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511300","3795654","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511301","3795654","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795659","07/11/2025","07/11/2025","Credit card","240","","70100","",""
"3511312","3795659","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511309","3795659","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511310","3795659","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511311","3795659","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795664","07/11/2025","07/11/2025","Credit card","325","","70100","",""
"3511326","3795664","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511329","3795664","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511328","3795664","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511327","3795664","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511330","3795664","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795665","07/11/2025","07/11/2025","Credit card","120","","70100","","1"
"3511331","3795665","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511332","3795665","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795668","07/11/2025","07/11/2025","Credit card","195","","70100","",""
"3511333","3795668","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511335","3795668","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511334","3795668","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795670","07/11/2025","07/11/2025","Credit card","60","","70100","",""
"3511338","3795670","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795671","07/11/2025","07/11/2025","Credit card","60","","70100","",""
"3511340","3795671","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795674","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3511344","3795674","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511343","3795674","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795682","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511348","3795682","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795688","07/11/2025","07/11/2025","Credit card","60","","70100","","1"
"3511349","3795688","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795689","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511350","3795689","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511351","3795689","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795690","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511352","3795690","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795694","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511354","3795694","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795703","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511362","3795703","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795705","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511363","3795705","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795709","07/11/2025","07/11/2025","Credit card","120","","70100","",""
"3511387","3795709","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3511386","3795709","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3795717","07/11/2025","07/11/2025","Credit card","195","","70100","",""
"3511389","3795717","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511391","3795717","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511390","3795717","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795719","07/11/2025","07/11/2025","Cash","0","","70001","",""
"922440","3795719","07/11/2025","","מנוי לעונת 2025/2026","","12500","","4240",""
"246424","3795719","07/11/2025","","מנוי לעונת 2025/2026","","-12500","","4240",""
"","3795720","07/11/2025","07/11/2025","Credit card","195","","70100","",""
"3511400","3795720","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511402","3795720","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511401","3795720","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795721","07/11/2025","07/11/2025","Credit card","195","","70100","",""
"3511396","3795721","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511395","3795721","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511397","3795721","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795729","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3511468","3795729","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511492","3795729","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795733","07/11/2025","07/11/2025","Credit card","134","","70100","","1"
"3511785","3795733","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"","3795738","07/11/2025","07/11/2025","Credit card","65","","70100","","1"
"3511777","3795738","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795742","07/11/2025","07/11/2025","Credit card","65","","70100","","1"
"3511795","3795742","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795743","07/11/2025","07/11/2025","Cash","0","","70001","",""
"3511796","3795743","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"3511798","3795743","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"3511799","3795743","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"3511797","3795743","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"","3795745","07/11/2025","07/11/2025","Cash","0","","70001","",""
"3511801","3795745","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"3511800","3795745","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","0","","4242",""
"","3795746","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511802","3795746","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795747","07/11/2025","07/11/2025","Credit card","260","","70100","",""
"3511804","3795747","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511806","3795747","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511807","3795747","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3511803","3795747","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795749","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511805","3795749","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795751","07/11/2025","07/11/2025","Credit card","128","","70100","",""
"3511813","3795751","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","64","","4242",""
"3511812","3795751","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","64","","4242",""
"","3795752","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3511958","3795752","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795759","07/11/2025","07/11/2025","Credit card","195","","70100","",""
"3512094","3795759","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512095","3795759","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512096","3795759","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795760","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3512097","3795760","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512098","3795760","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795761","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3512099","3795761","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795763","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3512105","3795763","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795765","07/11/2025","07/11/2025","Credit card","390","","70100","",""
"3512112","3795765","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512109","3795765","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512108","3795765","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512107","3795765","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512111","3795765","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512110","3795765","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795767","07/11/2025","07/11/2025","Credit card","65","","70100","","1"
"3512113","3795767","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795772","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3512119","3795772","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795776","07/11/2025","07/11/2025","Credit card","195","","70100","",""
"3512123","3795776","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512121","3795776","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512122","3795776","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795781","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3512131","3795781","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795782","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3512129","3795782","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512130","3795782","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795792","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3512146","3795792","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512147","3795792","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795796","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3512153","3795796","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512154","3795796","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795798","07/11/2025","07/11/2025","Credit card","325","","70100","",""
"3512157","3795798","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512158","3795798","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512156","3795798","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512159","3795798","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512155","3795798","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795803","07/11/2025","07/11/2025","Credit card","65","","70100","",""
"3512162","3795803","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795804","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3512163","3795804","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512164","3795804","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795805","07/11/2025","07/11/2025","Credit card","130","","70100","",""
"3512165","3795805","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"3512166","3795805","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
"","3795808","07/11/2025","07/11/2025","Credit card","195","","70100","",""
"3512174","3795808","07/11/2025","","גמר גביע ווינר: הפועל תל אביב","","65","","4242",""
