"Installment Ticket Id","InstallmentTransactionId","InstallmentDate","InstallmentValueDate","InstallmentProducts","InstallmentPaymentPrice","InstallmentProductPrice","InstallmentPaymentExtRef","InstallmentProductExtRef","Installments"
"3503259","3791318","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503260","3791318","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"","3791324","01/11/2025","01/11/2025","Credit card","268","","70100","",""
"3503263","3791324","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"3503264","3791324","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"","3791328","01/11/2025","01/11/2025","Credit card","536","","70100","",""
"3503265","3791328","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"3503270","3791328","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"3503271","3791328","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"3503272","3791328","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"","3791332","01/11/2025","01/11/2025","Credit card","74","","70100","",""
"3503275","3791332","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","74","","4242",""
"","3791334","01/11/2025","01/11/2025","Credit card","120","","70100","",""
"3503276","3791334","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503277","3791334","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791336","01/11/2025","01/11/2025","Credit card","180","","70100","",""
"3503278","3791336","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503279","3791336","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"","3791339","01/11/2025","01/11/2025","Credit card","60","","70100","",""
"3503281","3791339","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791341","01/11/2025","01/11/2025","Credit card","74","","70100","","1"
"3503285","3791341","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","74","","4242",""
"","3791342","01/11/2025","01/11/2025","Credit card","120","","70100","","1"
"3503286","3791342","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503287","3791342","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791349","01/11/2025","01/11/2025","CustomPayment","1000","","79991","",""
"3503317","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503320","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503321","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","50","","4241",""
"3503319","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503315","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503318","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503311","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503316","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503313","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503312","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503322","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","50","","4241",""
"3503314","3791349","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"","3791367","01/11/2025","01/11/2025","Other Payment","0","","Other","",""
"245923","3791367","01/11/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3791368","01/11/2025","01/11/2025","Other Payment","0","","Other","",""
"245924","3791368","01/11/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3791369","01/11/2025","01/11/2025","Other Payment","0","","Other","",""
"245925","3791369","01/11/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3791378","01/11/2025","01/11/2025","Credit card","134","","70100","",""
"3503324","3791378","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"","3791384","01/11/2025","01/11/2025","Credit card","150","","70100","",""
"3503327","3791384","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503329","3791384","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503328","3791384","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791392","01/11/2025","01/11/2025","Credit card","150","","70100","","1"
"3503332","3791392","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503334","3791392","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503333","3791392","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791407","01/11/2025","01/11/2025","Credit card","268","","70100","",""
"3503360","3791407","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"3503359","3791407","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"","3791411","01/11/2025","01/11/2025","Credit card","300","","70100","",""
